op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms
read,key-0033,4.560291301459074,200,True,False,1250.3042221069336
write,key-0018,1226.707875262946,201,True,,
read,key-0099,6.440999917685986,200,True,False,6240.940093994141
write,key-0049,1227.5582090951502,201,True,,
read,key-0058,3.185790963470936,404,True,False,
read,key-0033,1.7680828459560871,200,True,False,3716.4392471313477
read,key-0049,1.399707980453968,200,True,False,6.506919860839844
read,key-0099,1.4327079989016056,200,True,False,7476.578950881958
write,key-0049,1228.307208046317,201,True,,
read,key-0057,3.159583080559969,404,True,False,
write,key-0058,1228.3449578098953,201,True,,
read,key-0018,4.552334081381559,200,True,False,3706.878900527954
write,key-0084,1229.4522081501782,201,True,,
read,key-0046,3.182958345860243,200,True,False,28576.138973236084
read,key-0058,2.5032502599060535,200,True,False,1240.0460243225098
read,key-0003,2.4094590917229652,404,True,False,
write,key-0084,1220.0912502594292,201,True,,
write,key-0051,1233.1692497245967,201,True,,
read,key-0018,5.567749962210655,200,True,False,7403.787136077881
read,key-0084,4.310541786253452,200,True,False,1243.393898010254
read,key-0084,3.330875188112259,200,True,False,1246.811866760254
read,key-0010,3.603542223572731,200,True,False,14874.834060668945
read,key-0050,2.9877498745918274,404,True,False,
write,key-0084,1226.1144169606268,201,True,,
write,key-0099,1233.8913339190185,201,True,,
write,key-0084,1232.328959275037,201,True,,
read,key-0058,5.61937503516674,200,True,False,7414.673805236816
read,key-0018,4.028124734759331,200,True,False,11120.935916900635
read,key-0020,3.353916574269533,404,True,False,
write,key-0049,1228.4058341756463,201,True,,
read,key-0058,5.486084148287773,200,True,False,8656.31103515625
read,key-0078,3.7045422941446304,404,True,False,
read,key-0010,3.7087081000208855,200,True,False,19825.552940368652
read,key-0099,3.8235001266002655,200,True,False,2491.297960281372
read,key-0095,3.8135843351483345,404,True,False,
read,key-0084,5.290790926665068,200,True,False,1268.0861949920654
read,key-0084,3.6125830374658108,200,True,False,1271.7771530151367
read,key-0049,2.8224168345332146,200,True,False,32.89198875427246
read,key-0079,3.252957947552204,404,True,False,
read,key-0058,2.8953333385288715,200,True,False,8689.85390663147
read,key-0099,2.643707673996687,200,True,False,2516.0911083221436
write,key-0084,1232.3759589344263,201,True,,
read,key-0067,3.5649999044835567,404,True,False,
read,key-0033,3.3540003933012486,200,True,False,16111.797094345093
read,key-0049,2.0543751306831837,200,True,False,1283.9109897613525
write,key-0058,1227.1455419249833,201,True,,
write,key-0058,1233.2524587400258,201,True,,
read,key-0053,5.805166903883219,404,True,False,
read,key-0049,4.345042165368795,200,True,False,3754.9829483032227
read,key-0018,4.028582945466042,200,True,False,16111.974000930786
read,key-0004,5.10720768943429,404,True,False,
read,key-0099,6.385500077158213,200,True,False,6245.5151081085205
read,key-0049,5.001666955649853,200,True,False,3776.426076889038
read,key-0090,4.175165668129921,404,True,False,
write,key-0084,1225.038000382483,201,True,,
write,key-0051,1232.2879158891737,201,True,,
read,key-0018,7.37166590988636,200,True,False,18599.040985107422
read,key-0096,6.181958131492138,200,True,False,19844.46406364441
read,key-0096,3.8627921603620052,200,True,False,19848.453998565674
write,key-0084,1249.4684578850865,201,True,,
read,key-0049,4.4161248952150345,200,True,False,7510.8208656311035
write,key-0058,1231.3166251406074,201,True,,
read,key-0084,3.062250092625618,200,True,False,1239.0506267547607
write,key-0084,1222.883707843721,201,True,,
read,key-0042,3.976082894951105,404,True,False,
read,key-0088,2.1295840851962566,404,True,False,
write,key-0099,1227.6302915997803,201,True,,
read,key-0059,6.304542068392038,404,True,False,
read,key-0049,5.968290846794844,200,True,False,11214.835166931152
read,key-0056,4.109958186745644,200,True,False,92084.49506759644
read,key-0084,4.218667279928923,200,True,False,1255.1219463348389
read,key-0025,4.19095903635025,404,True,False,
write,key-0084,1232.9389587976038,201,True,,
read,key-0049,4.998625256121159,200,True,False,12465.928077697754
read,key-0084,4.46037482470274,200,True,False,9.695053100585938
write,key-0051,1236.9166668504477,201,True,,
read,key-0084,17.80600007623434,200,True,False,1264.7910118103027
read,key-0083,4.741541109979153,404,True,False,
read,key-0070,12.401999905705452,404,True,False,
read,key-0058,3.4251250326633453,200,True,False,5004.403829574585
read,key-0084,3.553499933332205,200,True,False,1289.463996887207
read,key-0050,2.482584211975336,404,True,False,
read,key-0034,2.2332919761538506,404,True,False,
write,key-0084,1230.7488340884447,201,True,,
write,key-0084,1237.440750002861,201,True,,
write,key-0068,1234.8990831524134,201,True,,
read,key-0058,10.612208861857653,200,True,False,8727.697849273682
read,key-0049,5.02266688272357,200,True,False,17475.15606880188
write,key-0084,1239.9395839311182,201,True,,
write,key-0051,1233.62945811823,201,True,,
read,key-0095,6.663832813501358,404,True,False,
read,key-0058,4.674083087593317,200,True,False,11218.648672103882
read,key-0058,4.761041607707739,200,True,False,11223.545789718628
read,key-0051,5.2312081679701805,200,True,False,21.99387550354004
read,key-0084,4.252208862453699,200,True,False,1260.2989673614502
read,key-0084,3.9114588871598244,200,True,False,1264.3237113952637
read,key-0044,3.8658753037452698,200,True,False,110823.80270957947
read,key-0058,4.025875125080347,200,True,False,11245.491981506348
write,key-0099,1230.5402923375368,201,True,,
read,key-0099,8.237459231168032,200,True,False,8.512020111083984
read,key-0099,5.687916185706854,200,True,False,14.365196228027344
read,key-0084,4.905542358756065,200,True,False,2522.516965866089
write,key-0051,1225.5480829626322,201,True,,
read,key-0058,4.358917009085417,200,True,False,13725.812911987305
read,key-0058,3.9191660471260548,200,True,False,13729.829788208008
read,key-0084,3.928207792341709,200,True,False,3760.7948780059814
read,key-0091,3.2974579371511936,404,True,False,
read,key-0058,4.5112501829862595,200,True,False,13741.835832595825
write,key-0048,1230.7109995745122,201,True,,
read,key-0084,7.462291046977043,200,True,False,5007.336854934692
read,key-0030,6.024083122611046,404,True,False,
write,key-0099,1229.9700411967933,201,True,,
read,key-0058,5.189458839595318,200,True,False,16222.044944763184
read,key-0084,4.061333369463682,200,True,False,6253.159761428833
read,key-0058,3.855958115309477,200,True,False,16230.177879333496
read,key-0031,4.212583880871534,404,True,False,
write,key-0084,1238.5071669705212,201,True,,
read,key-0051,7.0812092162668705,200,True,False,3759.089231491089
read,key-0049,4.7744582407176495,200,True,False,26227.51021385193
read,key-0084,5.121333058923483,200,True,False,17.40097999572754
read,key-0051,3.7602498196065426,200,True,False,3773.1032371520996
read,key-0084,3.9768326096236706,200,True,False,25.35390853881836
read,key-0073,4.667667206376791,404,True,False,
read,key-0084,4.932124633342028,200,True,False,35.2320671081543
read,key-0021,4.05883276835084,404,True,False,
write,key-0084,1233.8357497937977,201,True,,
read,key-0056,6.43670791760087,200,True,False,108360.87107658386
read,key-0080,6.001750007271767,404,True,False,
write,key-0078,1235.9354589134455,201,True,,
write,key-0073,1235.4349168017507,201,True,,
read,key-0084,6.626666057854891,200,True,False,2491.424083709717
write,key-0084,1223.848707973957,201,True,,
write,key-0084,1226.5868331305683,201,True,,
read,key-0068,3.046541940420866,200,True,False,14975.268125534058
read,key-0068,1.980333123356104,200,True,False,14977.313041687012
read,key-0084,1.9035423174500465,200,True,False,7.205963134765625
write,key-0099,1226.764083839953,201,True,,
read,key-0084,6.393040996044874,200,True,False,1240.736961364746
write,key-0099,1223.1291667558253,201,True,,
write,key-0084,1233.8919173926115,201,True,,
write,key-0048,1233.9550000615418,201,True,,
write,key-0051,1242.069000378251,201,True,,
read,key-0066,5.815458949655294,404,True,False,
